实际值,XGB预测值,LGB预测值
2.47,2.0829456,2.0991341292293573
1.86931370973851,1.7763516,1.7818993014960038
1.76,1.6335425,1.5693973635133067
1.92,2.1768003,1.8669486062259044
1.797435050377,1.7134569,1.7111422742529605
1.81119981723321,1.739883,1.7313883284948668
1.67754698366575,1.6796851,1.660907382133986
1.55869773249892,1.615871,1.6294039447180815
1.62,1.7700366,1.769826923105543
1.76,1.8468307,1.8541701653910498
2.5,2.056788,2.0961900986973765
1.72907705756659,1.639987,1.56069037614553
1.76557368214128,1.7604018,1.771395784628071
1.64213102939599,1.8247879,1.8043010591391102
2.53,2.5354707,2.3300241415268332
1.72907705756659,1.639987,1.56069037614553
1.70123268651892,1.550923,1.6113252357488803
1.70469080818797,1.6309731,1.6154044822500193
2.28,2.2462285,2.4424464599250713
1.68939611209866,1.6558787,1.6439505246323578
1.63,1.69062,1.6918664829315355
1.72,1.6939474,1.7830313397614317
1.64,1.7615174,1.791406383915133
1.73019474408631,1.7109605,1.665658137077926
1.67105454695349,1.8766352,1.7488070275464036
1.73513205894296,1.7296441,1.6500297572402733
1.54,1.598959,1.6485443784778717
1.72,1.72692,1.6854703678886072
1.40550260544624,1.4479593,1.4780646029576159
1.54193172511518,1.5724634,1.5364997180001738
1.89948751261826,1.8950087,1.9061747526860637
1.85053727489419,1.758742,1.707165788844778
1.78170447949036,1.6691056,1.718728309357083
1.88541944237448,1.8289471,1.8259129481525087
1.88,1.7270252,1.631993708703929
1.1296221237863,0.81687284,1.3546346792507358
1.52,1.9397991,1.9637013042182048
1.9,1.7714874,1.6636452320027133
2.19,2.1951718,2.2057190668366027
2.03,2.0711966,2.048366691956997
2.06423704318602,1.9644237,1.9611373251814241
1.69391657892179,1.5619464,1.6224102305878205
1.62306402648971,1.8507953,1.5850505945120157
2.08,2.0787919,2.0618343665265946
1.60162140530167,1.6525067,1.6204598452796726
1.42514397654249,1.5294553,1.6131309126370266
1.74732971333016,1.7038722,1.7288802666453693
1.98,2.0585341,2.04559913651849
1.88871332201527,1.8299183,1.8259129481525087
1.81059804166241,1.778451,1.8893173141801411
2.13,2.0996587,2.089620005829061
1.77429063446303,1.7708584,1.8371481596699513
1.83390028363872,1.8273145,1.8421092926931344
1.39657829648036,1.3138103,1.3235130996308642
1.81302412447264,1.722626,1.6862906617676878
1.68931952284793,1.737566,1.6754896123129333
1.83860397587153,1.7549043,1.7083487692387536
1.8304730911653,1.7624543,1.801702221340392
1.88,1.9621948,1.962207551460858
1.6292401526405,1.6530403,1.7211711280927275
1.64,1.6752762,1.6935142722038723
1.90359534481061,1.9277825,1.9389616646521002
2.0,2.0833657,2.112684203774907
2.8098264529229,2.0941749,2.289242581183116
2.06159259381917,1.9644237,1.9611373251814241
1.72870264768092,1.7249864,1.6726407616161116
1.71371839612635,1.7249864,1.6726407616161116
2.07,2.0515645,2.009767533435805
2.46991527361253,2.4492106,2.297480778461671
1.59557459672433,1.6378736,1.6559373171175185
1.76100875240486,1.7473115,1.750326078256901
1.78,1.7281222,1.8411906906065096
1.78402656470219,1.7551271,1.786786705841436
1.47875167289717,1.5142832,1.5108928287895318
2.25,1.9686204,2.0557399841499433
1.84095325687267,1.7804388,1.741213649393611
1.87,1.8510847,1.8498030595757893
1.68947200734293,1.7445871,1.7236886326158098
1.93,1.9466895,1.9085504513661853
1.49108822167514,1.6525067,1.6204598452796726
1.86803463592841,1.7141207,1.7062166774461969
1.52800773545249,1.5948756,1.5685597073929
1.62919691749753,1.659499,1.7015034633925046
1.74339422081599,1.7592931,1.7358698151367398
1.40550260544624,1.4479593,1.4780646029576159
1.56,1.6830673,1.707950012262836
1.6801851113651,1.6747935,1.7189631309726139
2.14649318267959,2.4702785,2.4270421372900866
1.98,1.9134867,1.8478128626854933
1.98329675573208,1.8068649,1.8180904894039096
2.04,2.1261613,2.2170137964163676
1.70215213427661,1.6822107,1.6698588805067236
2.07,2.0272946,1.942839262095685
1.8100762993271,1.7223059,1.7203990364543078
1.5428686548747,1.6378736,1.6559373171175185
1.68406811829636,1.6848758,1.665409475810479
2.24614198239517,2.2124789,2.11209675547784
1.83267355926919,1.778451,1.8893173141801411
1.90232178234249,1.5485387,1.6760964912055683
1.54368222063954,1.6520776,1.7546788171126566
1.65,1.693516,1.6703115241990039
1.81459695329269,1.7359462,1.7443079428866692
1.6469520234561,1.5520763,1.5336599231786892
2.20312029279315,2.2725234,2.279861713902121
2.17640236263373,2.0361366,1.830058203090813
1.62,1.6322182,1.683274798550746
1.93,1.8095883,1.735798502241689
1.61,1.8400224,1.8060011871664416
1.92,2.0644298,2.1682823755096914
2.29775549782656,1.9814355,1.9674983344258723
1.98315151216591,1.8637664,1.8777184034768784
1.56,1.6337899,1.7081476027156606
1.48369353219227,1.7473115,1.750326078256901
