实际值,XGB预测值,LGB预测值
4.72,4.6567492,4.582330426723233
5.74679760690775,5.6225305,5.664104053506323
5.63,5.519799,5.532159012577762
6.18,5.910324,6.03899135585226
6.01412287291736,7.1288395,7.105328907133369
4.97880242224625,5.603606,6.609795499038684
7.39836801033228,6.204296,6.0309845420453785
3.3454099591994,3.6606586,3.7597441857256695
3.23,4.014338,4.207996109524195
5.77,5.0526695,4.5464786698805275
5.37,4.8747354,4.776885968372006
5.19896626638445,5.25657,5.730740379322693
6.61702324566275,5.965429,5.761388292139418
8.81031505134717,8.106814,7.398552312266988
0.48,0.45898384,0.8743248856727277
5.19896626638445,5.25657,5.730740379322693
5.75818421877341,4.7309737,4.577186309913889
3.76844985566239,4.158922,4.124158175607886
4.5,3.5826201,3.1085273350084837
5.6264763090931,5.5854487,5.717729969481784
5.37,5.3409634,5.962699216711605
3.85,3.8238733,4.497756125106996
5.48,5.1956425,5.388929525070643
5.14436329292533,5.4669614,6.042165101843283
5.68165655168777,7.08793,5.995630315652129
6.01347506035394,5.4741898,5.5078948003460955
2.78,3.229778,3.2987184600718424
5.96,4.8251734,5.515574384235379
5.94834653476373,7.6075068,5.896161995261539
10.365083048119,6.047203,5.886791068995822
5.54091405240608,4.7882104,4.874396032967709
3.39199395609814,3.623159,3.0847493591648885
6.21240021197567,6.920088,7.012812730442131
7.0513010892201,6.894267,6.693991463696908
3.79,4.0924463,4.3950455337569005
10.4824997703561,12.558746,7.069939209624883
2.81,3.6233168,4.1999267019480575
4.88,4.086329,4.66567685732232
5.11,5.2756643,5.448620733386351
6.19,5.2617574,5.33345485323346
5.00518856575435,5.6180816,5.926915364932643
3.72254308614126,4.0456796,3.667088021104801
6.71491496572569,4.821542,5.211654802785189
6.41,5.664932,5.939500704293173
6.69435493859931,5.4514217,5.3637097206488455
8.38622749102359,4.4529624,5.3940999414145985
4.60965534774311,4.349573,5.255699265933109
6.27,5.220356,4.965595373042401
6.911906897122,6.4595485,6.693991463696908
6.19009706454917,5.4852476,5.426454842824519
5.63,5.5389857,5.358268525166381
4.0066529751432,4.554199,5.094371275742698
5.74179973670948,6.001757,6.293310400334743
3.7955102388233,3.7429347,3.629560268514574
3.95087846943814,4.8797493,5.634349477976931
4.17989202375169,5.256185,5.012937305750268
3.60355405060123,3.707064,3.263219229162037
7.00474063712888,6.0075574,6.304989052388941
6.23,5.6745653,5.931502330377464
5.85524942145101,5.0297775,5.573597423307001
3.36,3.3188515,3.213543341930319
7.69342452661731,7.552112,7.3016015654049164
4.56,5.525166,5.043545970284224
3.49023898776593,3.8401704,4.453646188741778
4.49287801706291,5.6180816,5.926915364932643
5.11646009002851,4.9231772,5.43005592490791
4.99903261549294,4.9231772,5.43005592490791
5.82,4.9637437,5.132798413015254
6.0663841075391,5.7592797,6.425632785944914
5.07741590009341,5.186982,5.668171294256442
3.94049532519327,3.5717256,3.843627246570859
4.09,3.6202898,3.706182532686112
4.00093195196106,4.4619694,5.090519509102083
5.38325412651517,5.3235755,4.954502051477831
4.35,3.9597905,4.719932842608851
3.7753186301011,3.3385093,2.969795549339257
7.29,5.1954513,5.089664710978795
6.5378154857639,6.903243,6.581848434362119
6.48,6.2596927,6.090023649256967
3.97672428503235,5.4514217,5.3637097206488455
3.36531417482136,3.651691,3.963395786107368
3.85748086116273,3.749443,4.356422594790293
6.16859757574193,6.0146933,5.503060507110977
6.5635426857475,6.5543256,6.702145869311706
5.94834653476373,7.6075068,5.896161995261539
2.9,3.323379,3.213543341930319
3.04095748127975,4.0176654,4.027564521176756
6.03602504229608,6.124187,6.0768017481776075
4.58,4.670815,3.954468458085474
4.61187154389504,4.512918,4.664708525142155
6.76,5.9060645,5.43179178814737
4.16848321251278,4.2915635,4.881929950801752
6.41,5.7238197,5.52615770309562
2.42964501479041,3.9452503,5.228464380685476
4.95556774370251,5.186982,5.668171294256442
7.37270031342599,7.3413725,7.448212517186743
4.8459350864552,4.8209667,4.613824110687413
5.86697554837418,5.4852476,5.426454842824519
2.85507721257738,2.6817892,3.6375057858116873
8.50178999195265,7.742144,7.332968189645515
4.91,5.690146,5.7719723910168055
7.0374058249007,6.4311967,6.149665118514313
6.83336958562948,6.4857154,5.539446754789356
6.51128906007549,6.269158,6.0916572405340625
1.74421411179811,1.4629412,3.494913678872701
4.99,4.82346,4.992062970636305
4.79,3.9904792,3.991929685317765
3.28,3.8874443,4.19041617276704
4.57,5.1927595,5.673956514555147
6.2081734748377,5.8059525,5.770017096690325
4.66157927520729,4.7680683,4.893450790398583
7.69,7.783002,7.099512627867258
2.19187667485721,3.5717256,3.843627246570859
6.31,5.749569,5.308607512116836
6.43920556606391,6.071091,6.5345777179025
4.37,3.7318497,3.09486742174133
7.72176653954428,7.1810274,6.970888836710434
5.90617179585899,5.197163,5.413875827179424
4.00140176535944,4.4619694,5.090519509102083
3.81265174487622,6.0011215,5.441238555461904
4.16848321251278,4.5297203,4.884636138078431
3.46276477904852,6.3536744,5.8811056632084515
6.09433869876855,6.4192557,5.999514796185855
7.02737562347065,7.053914,7.199859959060909
6.22269525642562,3.7941852,4.2712621835818245
7.64,3.4747036,3.6895366158807597
6.85,5.0085196,5.012867737975144
4.07486292623514,4.6290374,4.63078753153903
5.95504728978585,4.745229,4.643922206831671
5.11,5.9255896,5.911190090828466
3.75004763576177,4.140954,3.648662081567583
3.67441676890712,3.4334013,3.177240914741701
6.5578215300703,6.4984136,6.820216748321325
5.29,4.7995768,4.543394883058107
4.04,3.8268178,3.597996811421824
3.1,5.1508994,4.539030535277311
4.79,5.6070127,5.984129772079349
6.96,5.9504547,5.524017503818204
3.7,3.6954007,3.8390761770525677
4.79,4.6242986,4.128667234010168
5.01,5.3386307,5.28223925574704
6.11,5.979663,6.409820259169994
8.96705601787746,8.734961,8.678562609766079
6.45766428786824,6.140779,6.000362083243007
5.75,5.091462,4.397263893536552
5.2,5.4369106,5.607348812496898
2.36713883156419,2.9257734,3.926105961009901
2.17823386776267,5.5038466,5.129144710536563
8.48,7.783002,7.099512627867258
5.11646009002851,4.9231772,5.43005592490791
5.7,5.6979823,5.416959659378291
7.07317256400675,6.922938,6.248670994153796
6.43594700649583,6.4557495,6.774064037023604
5.60851314637729,6.6663847,5.108892594044036
