实际值,XGB预测值,LGB预测值
0.28,0.2776897,0.2784990726069539
0.27625,0.27667886,0.27654401235151177
0.28,0.2796448,0.2808891188187287
0.28,0.27906573,0.27961612174942324
0.27625,0.27632582,0.2759564567639722
0.27625,0.27611724,0.2764788170851524
0.27625,0.27697998,0.27672394507440584
0.27625,0.27647454,0.27648058895248784
0.28,0.27993724,0.27926990471751173
0.28,0.278018,0.2777984146771905
0.28,0.27724436,0.2785418476375217
0.27625,0.2763584,0.2766431347172774
0.27625,0.27604476,0.27600105349635906
0.27625,0.27756718,0.2777576281454215
0.28,0.27989802,0.2797760040816368
0.27625,0.2763584,0.2766431347172774
0.27625,0.2761149,0.2725584337818812
0.27625,0.27621958,0.2708620803919873
0.28,0.24288675,0.2234800210042655
0.27625,0.2764693,0.27690666867883684
0.28,0.27929702,0.28008763157545263
0.28,0.28012472,0.2768709957294129
0.28,0.2800785,0.2801132472359901
0.27625,0.2763341,0.27702107174845325
0.27625,0.27821597,0.27856158335769543
0.27625,0.27627018,0.27697661130853923
0.28,0.28023192,0.27713536024659835
0.28,0.27996245,0.2812954016846627
0.27625,0.2764908,0.2771663289219188
0.27625,0.27704903,0.27775186409622216
0.27625,0.2782904,0.277809925628243
0.27625,0.27650627,0.27681860983159035
0.27625,0.2764318,0.2766513763675891
0.27625,0.27629068,0.2742572395004549
0.28,0.27929,0.27966647735252154
0.27625,0.27635968,0.2763697137308426
0.28,0.28025705,0.27677291414623784
0.28,0.2789255,0.27854350672431244
0.28,0.28016394,0.27890451389997556
0.28,0.27966267,0.2788190890326993
0.27625,0.27655885,0.27734901483250096
0.27625,0.27633536,0.2711288920786057
0.27625,0.2768112,0.27650929554292425
0.28,0.27993676,0.2821068499636924
0.27625,0.2762143,0.27609428521381907
0.27625,0.27640468,0.2766502141494761
0.27625,0.27619904,0.2760770254334614
0.28,0.27982062,0.27905840831141443
0.27625,0.27629068,0.273771977951079
0.27625,0.2763695,0.27668009565534807
0.28,0.27991307,0.2819012687716736
0.27625,0.27672517,0.2767157162787958
0.27625,0.27630535,0.2764174825450136
0.27625,0.27635518,0.27530043085623385
0.27625,0.27685308,0.277186802861285
0.27625,0.27620882,0.2750542527898802
0.27625,0.2769956,0.2769233048480528
0.27625,0.27632248,0.276666665408895
0.28,0.28015897,0.2798583839740011
0.27625,0.2754166,0.2699262150804345
0.28,0.27968135,0.27961964760242713
0.27625,0.27623048,0.2768450824929704
0.28,0.28031638,0.27869299890713567
0.27625,0.27644226,0.27656980007638426
0.27625,0.27655885,0.27734901483250096
0.27625,0.2763341,0.27697661130853923
0.27625,0.2763341,0.27697661130853923
0.28,0.28025907,0.2809353574642533
0.27625,0.27650255,0.2763764057225248
0.27625,0.2762825,0.2699262150804345
0.27625,0.2761342,0.2764350452854997
0.28,0.27726653,0.2777176492160908
0.27625,0.27682456,0.2769869044820614
0.27625,0.27644885,0.2761368529616388
0.28,0.28226033,0.2891017704315029
0.27625,0.27650088,0.27708095819444406
0.28,0.27780527,0.2775996469017833
0.27625,0.27620736,0.27620043392739513
0.28,0.2793705,0.27710131507042857
0.27625,0.2762143,0.27609428521381907
0.27625,0.27644068,0.2766125231988111
0.27625,0.27627856,0.276971700772557
0.27625,0.27660802,0.27680590078240647
0.27625,0.27639258,0.27660691592767506
0.27625,0.2764908,0.2771663289219188
0.28,0.27968135,0.27961964760242713
0.27625,0.2763743,0.2760500057834177
0.27625,0.27681914,0.2799052178377058
0.28,0.2794279,0.2786798623756032
0.27625,0.27643254,0.2763210573257892
0.28,0.2800093,0.2793826105499195
0.27625,0.27609634,0.27641593406796666
0.28,0.27974105,0.2831093738148878
0.27625,0.27643463,0.27672233997307455
0.27625,0.2762825,0.2699262150804345
0.27625,0.276316,0.27607623632435785
0.27625,0.27730677,0.2775287508162947
0.27625,0.2763695,0.27668009565534807
0.27625,0.27670085,0.2770670422967905
0.27625,0.27639002,0.2762925400582819
0.28,0.27952006,0.2795879740700362
0.27625,0.2761483,0.2764225801216123
0.27625,0.27704328,0.2766702015560703
0.27625,0.2764865,0.2772079593394234
0.27625,0.27685168,0.27694729910931043
0.28,0.28007454,0.279933604854051
0.28,0.27755642,0.2765275176393322
0.28,0.27916735,0.27513902733792744
0.28,0.28002772,0.28010313437846796
0.27625,0.2762366,0.2776260615756557
0.27625,0.27792084,0.277693500927679
0.28,0.27899903,0.27846950395958087
0.27625,0.2761342,0.2764350452854997
0.28,0.2804683,0.2790141630579779
0.27625,0.27625206,0.27205947714624334
0.28,0.2367772,0.2234800210042655
0.27625,0.2760331,0.27300593982029897
0.27625,0.27684486,0.27713205413889686
0.27625,0.27682456,0.2769869044820614
0.27625,0.27667564,0.2773969152133733
0.27625,0.27616724,0.27637354023385147
0.27625,0.27820256,0.27761519344031405
0.27625,0.2766903,0.27675421097283703
0.27625,0.27609706,0.27775064208044503
0.27625,0.2764262,0.27617108129114043
0.28,0.27737233,0.27801103846767994
0.28,0.27959543,0.2750982039051626
0.27625,0.2783994,0.2786446975119078
0.27625,0.27616724,0.27637354023385147
0.28,0.27968913,0.2801424840181431
0.27625,0.2769602,0.2776417932545003
0.27625,0.27708825,0.2771670653376475
0.27625,0.27617866,0.27884599011575173
0.28,0.27850348,0.277564082883301
0.28,0.2813451,0.25391109122898736
0.28,0.27835968,0.2779594276565377
0.28,0.27692991,0.2764279400365786
0.28,0.2790416,0.27977909576845517
0.28,0.2769224,0.2522169303626643
0.28,0.26586926,0.283593662627316
0.28,0.27962244,0.2787254477999273
0.28,0.28032917,0.28000683048543246
0.27625,0.27630198,0.2804678977368424
0.27625,0.27662146,0.27702452696933216
0.28,0.2777333,0.2771305009534721
0.27625,0.27804786,0.27931455539089073
0.27625,0.2763994,0.27676366481409886
0.27625,0.276257,0.27611627823182633
0.28,0.27899903,0.27846950395958087
0.27625,0.2763341,0.27697661130853923
0.28,0.27986902,0.2798829318253635
0.27625,0.27615064,0.27625032898364366
0.27625,0.27629068,0.2732933863977135
0.27625,0.27654293,0.27243815089104373
