特征,LGB重要性
M1-2_S-2土,459
M4_铝溶胶,367
M3-1_山西拟薄,332
Z2_RDSY,221
M1-1_S-1土,192
Z4_HRSY-1,146
FM7_基质稀土,139
FZ4_SA-5,122
L1_Na,101
FM8_氨水沉淀稀土,86
FM2_APM-7,82
FZ3_低硅ZSM-5,75
Z5_HRSY-3,72
FZ8_氧化钇,69
T1_反应温度,62
Z7_HRSY-5,59
Z6_HRSY-4,53
L3_RE,51
FZ2_高硅ZSM-5,51
L13_微活,50
M1-3_茂名土,35
Z3_MASY,31
L2_P,29
L7_强度,24
FM4_薄水,22
Z10_GUSY-2,20
M2_埃洛石,19
FZ6_MgO,14
M5_多孔,6
oil_原料油,2
T2_剂油比,0
