特征,LGB重要性
M4_铝溶胶,315
M1-1_S-1土,296
M1-2_S-2土,289
Z2_RDSY,266
M3-1_山西拟薄,250
FZ4_SA-5,196
FM7_基质稀土,118
FZ3_低硅ZSM-5,116
FZ2_高硅ZSM-5,115
FZ8_氧化钇,105
FM2_APM-7,99
FZ6_MgO,88
Z10_GUSY-2,85
Z4_HRSY-1,82
Z7_HRSY-5,76
L3_RE,73
L1_Na,60
Z5_HRSY-3,53
M2_埃洛石,53
FM8_氨水沉淀稀土,52
M1-3_茂名土,51
Z6_HRSY-4,45
L13_微活,39
oil_原料油,36
T1_反应温度,28
L2_P,25
M5_多孔,21
Z3_MASY,20
L7_强度,16
FM4_薄水,15
T2_剂油比,0
