特征,LGB重要性
M1-2_S-2土,422
M4_铝溶胶,375
Z2_RDSY,282
M3-1_山西拟薄,239
Z4_HRSY-1,158
M1-1_S-1土,146
FM7_基质稀土,121
FZ4_SA-5,114
L13_微活,107
L1_Na,106
FZ8_氧化钇,92
Z5_HRSY-3,83
FM8_氨水沉淀稀土,76
L3_RE,73
L2_P,71
Z7_HRSY-5,70
Z6_HRSY-4,66
FM2_APM-7,61
Z10_GUSY-2,60
FZ6_MgO,49
T1_反应温度,44
FM4_薄水,37
FZ3_低硅ZSM-5,36
M1-3_茂名土,26
M5_多孔,25
Z3_MASY,22
M2_埃洛石,21
FZ2_高硅ZSM-5,18
oil_原料油,17
L7_强度,7
T2_剂油比,0
