特征,LGB重要性
M1-1_S-1土,335
M4_铝溶胶,322
Z2_RDSY,302
M1-2_S-2土,272
M3-1_山西拟薄,261
FM7_基质稀土,147
FZ4_SA-5,144
FZ2_高硅ZSM-5,112
Z5_HRSY-3,99
L3_RE,92
Z4_HRSY-1,87
FZ6_MgO,79
FM2_APM-7,74
FZ3_低硅ZSM-5,71
L1_Na,71
Z10_GUSY-2,60
L13_微活,53
FZ8_氧化钇,47
oil_原料油,42
FM8_氨水沉淀稀土,42
Z7_HRSY-5,38
L2_P,36
L7_强度,34
Z6_HRSY-4,30
M5_多孔,29
M1-3_茂名土,28
FM4_薄水,25
M2_埃洛石,18
Z3_MASY,11
T1_反应温度,6
T2_剂油比,0
