特征,LGB重要性
M1-2_S-2土,543
M4_铝溶胶,415
Z2_RDSY,357
M3-1_山西拟薄,263
Z4_HRSY-1,201
M1-1_S-1土,141
L1_Na,113
FZ8_氧化钇,94
FZ4_SA-5,92
Z6_HRSY-4,90
FM7_基质稀土,89
FM8_氨水沉淀稀土,75
Z7_HRSY-5,64
FM2_APM-7,62
L13_微活,61
FZ3_低硅ZSM-5,58
Z5_HRSY-3,58
FM4_薄水,44
T1_反应温度,44
M1-3_茂名土,28
FZ6_MgO,24
Z3_MASY,22
L2_P,22
FZ2_高硅ZSM-5,21
Z10_GUSY-2,20
L3_RE,19
M2_埃洛石,15
M5_多孔,8
L7_强度,6
T2_剂油比,0
oil_原料油,0
