特征,LGB重要性
M3-1_山西拟薄,226
M1-2_S-2土,224
M4_铝溶胶,217
M1-3_茂名土,213
Z2_RDSY,200
M1-1_S-1土,188
L3_RE,182
FZ4_SA-5,118
L1_Na,101
Z3_MASY,101
FZ2_高硅ZSM-5,96
FM7_基质稀土,69
FM8_氨水沉淀稀土,60
Z5_HRSY-3,59
oil_原料油,56
Z4_HRSY-1,52
FZ3_低硅ZSM-5,48
Z10_GUSY-2,43
M5_多孔,43
Z6_HRSY-4,43
FZ8_氧化钇,40
FM2_APM-7,34
L13_微活,34
FZ6_MgO,30
Z7_HRSY-5,28
M2_埃洛石,18
L2_P,14
FM4_薄水,13
T1_反应温度,13
L7_强度,6
T2_剂油比,0
