特征,LGB重要性
M1-2_S-2土,401
Z2_RDSY,356
M4_铝溶胶,351
M3-1_山西拟薄,262
M1-1_S-1土,260
FM7_基质稀土,156
FZ4_SA-5,155
Z4_HRSY-1,151
Z5_HRSY-3,112
L1_Na,86
FM2_APM-7,82
FZ8_氧化钇,82
FZ3_低硅ZSM-5,77
oil_原料油,69
L13_微活,69
Z6_HRSY-4,62
FM8_氨水沉淀稀土,59
M2_埃洛石,52
Z7_HRSY-5,52
L3_RE,51
FM4_薄水,39
FZ6_MgO,38
FZ2_高硅ZSM-5,38
M1-3_茂名土,33
Z3_MASY,33
T1_反应温度,29
Z10_GUSY-2,29
M5_多孔,23
L7_强度,21
L2_P,6
T2_剂油比,0
