特征,LGB重要性
M1-2_S-2土,384
M4_铝溶胶,335
Z2_RDSY,323
M3-1_山西拟薄,277
M1-1_S-1土,198
FZ4_SA-5,144
Z4_HRSY-1,138
FM7_基质稀土,125
L1_Na,112
Z5_HRSY-3,90
FZ8_氧化钇,90
FZ3_低硅ZSM-5,78
L13_微活,74
Z7_HRSY-5,74
T1_反应温度,70
FM8_氨水沉淀稀土,69
Z6_HRSY-4,67
FM2_APM-7,62
FZ6_MgO,57
FZ2_高硅ZSM-5,53
Z10_GUSY-2,50
L3_RE,40
M2_埃洛石,34
Z3_MASY,28
FM4_薄水,28
M5_多孔,26
oil_原料油,20
M1-3_茂名土,15
L2_P,14
L7_强度,6
T2_剂油比,0
