特征,LGB重要性
M4_铝溶胶,343
M1-2_S-2土,330
Z2_RDSY,281
M3-1_山西拟薄,230
M1-1_S-1土,223
FM7_基质稀土,167
FZ4_SA-5,124
L13_微活,121
L1_Na,99
FZ8_氧化钇,99
L3_RE,99
L7_强度,99
FM2_APM-7,96
Z4_HRSY-1,95
FZ3_低硅ZSM-5,92
Z5_HRSY-3,75
Z7_HRSY-5,72
FM8_氨水沉淀稀土,62
M2_埃洛石,51
oil_原料油,46
M1-3_茂名土,43
T1_反应温度,40
Z10_GUSY-2,38
FM4_薄水,36
Z6_HRSY-4,35
FZ2_高硅ZSM-5,33
FZ6_MgO,28
Z3_MASY,20
L2_P,8
M5_多孔,3
T2_剂油比,0
