特征,LGB重要性
M4_铝溶胶,336
M1-1_S-1土,286
M1-2_S-2土,278
M3-1_山西拟薄,271
Z2_RDSY,261
FZ4_SA-5,231
Z4_HRSY-1,118
FM7_基质稀土,113
FZ2_高硅ZSM-5,112
FZ3_低硅ZSM-5,105
L3_RE,100
FM2_APM-7,92
FZ8_氧化钇,73
FZ6_MgO,71
L1_Na,70
Z7_HRSY-5,64
oil_原料油,63
Z6_HRSY-4,60
FM8_氨水沉淀稀土,59
Z10_GUSY-2,49
M2_埃洛石,49
T1_反应温度,38
L13_微活,34
M1-3_茂名土,32
M5_多孔,25
Z3_MASY,23
Z5_HRSY-3,23
L7_强度,16
L2_P,13
FM4_薄水,7
T2_剂油比,0
