特征,LGB重要性
M1-2_S-2土,382
M4_铝溶胶,369
Z2_RDSY,279
M1-1_S-1土,266
M3-1_山西拟薄,252
Z4_HRSY-1,187
FZ4_SA-5,169
L1_Na,127
Z5_HRSY-3,123
FM7_基质稀土,122
FZ8_氧化钇,81
L13_微活,73
oil_原料油,73
FZ3_低硅ZSM-5,72
Z7_HRSY-5,58
FM8_氨水沉淀稀土,56
FM2_APM-7,55
FZ6_MgO,50
M2_埃洛石,47
M5_多孔,43
Z3_MASY,39
Z10_GUSY-2,36
FM4_薄水,34
L3_RE,34
Z6_HRSY-4,33
M1-3_茂名土,29
FZ2_高硅ZSM-5,25
T1_反应温度,23
L7_强度,12
L2_P,9
T2_剂油比,0
