特征,LGB重要性
M4_铝溶胶,435
M1-2_S-2土,408
Z2_RDSY,396
M1-1_S-1土,287
M3-1_山西拟薄,262
Z5_HRSY-3,204
FM7_基质稀土,181
Z4_HRSY-1,176
FM8_氨水沉淀稀土,166
FZ4_SA-5,142
Z3_MASY,107
M5_多孔,99
FM2_APM-7,79
FZ3_低硅ZSM-5,59
FZ2_高硅ZSM-5,56
L1_Na,50
L3_RE,45
M2_埃洛石,40
M1-3_茂名土,35
L13_微活,33
FM4_薄水,32
FZ8_氧化钇,18
Z10_GUSY-2,17
Z6_HRSY-4,16
FZ6_MgO,13
L7_强度,11
Z7_HRSY-5,10
oil_原料油,10
T1_反应温度,8
L2_P,0
T2_剂油比,0
