特征,LGB重要性
M1-1_S-1土,274
M4_铝溶胶,270
Z2_RDSY,241
M1-2_S-2土,227
M1-3_茂名土,203
M3-1_山西拟薄,198
L3_RE,156
FM7_基质稀土,117
Z3_MASY,112
FZ4_SA-5,91
FM2_APM-7,87
Z4_HRSY-1,85
FZ3_低硅ZSM-5,85
Z5_HRSY-3,81
FZ8_氧化钇,73
Z10_GUSY-2,58
FZ2_高硅ZSM-5,53
FM4_薄水,37
L1_Na,36
M2_埃洛石,34
Z6_HRSY-4,32
FM8_氨水沉淀稀土,30
Z7_HRSY-5,28
oil_原料油,27
L13_微活,24
FZ6_MgO,18
M5_多孔,15
L2_P,13
L7_强度,7
T1_反应温度,0
T2_剂油比,0
