实际值,XGB预测值,LGB预测值
2.15,1.954333,1.9775426193936443
1.75671024121779,1.6672635,1.6931476220773511
1.67,1.59321,1.5122138207228362
1.89,1.8131298,1.8318096911225377
1.64141044768932,1.5520909,1.5471364902766895
1.71288257447664,1.6681623,1.6089142649253982
1.58984696444043,1.590023,1.5740808897930025
1.50641001606067,1.5453209,1.5540298392233112
1.59,1.7004766,1.6885272957286224
1.65,1.8213116,1.8122132767708663
2.16,1.958315,1.980582010038197
1.6559576168731,1.6162169,1.5246077058094696
1.62630434902214,1.6551956,1.664428138428499
1.42161587543637,1.6630979,1.6778613036853827
2.53,2.544651,2.3436924379402573
1.6559576168731,1.6162169,1.5246077058094696
1.45068019979241,1.4033653,1.4643058526124146
1.66917438916,1.64385,1.6500490769365568
2.16,2.111547,2.425535154440864
1.6172329465771,1.6151716,1.6027879303672672
1.5,1.5988573,1.5960027848048377
1.67,1.6904212,1.6784203663820536
1.57,1.6950119,1.732964058567986
1.69405711056117,1.6605753,1.59590457386413
1.49320646497674,1.7263896,1.661321478178567
1.65311391491068,1.6452781,1.591198902913084
1.54,1.57753,1.6191203096041442
1.63,1.6392257,1.668598504973768
1.34450053704514,1.2980592,1.4489882788188677
1.3747128253991,1.4969007,1.5791965094845393
1.77298842737623,1.7828087,1.8432232592339508
1.75749824661156,1.6795042,1.696178171108306
1.63929370946593,1.5634007,1.5760671585264694
1.75277192024231,1.7200314,1.7008173598737362
1.78,1.6826082,1.600050087513476
0.987403139600129,0.69093114,1.2162410370645882
1.52,1.7760332,1.8409262030825722
1.79,1.7798258,1.664757334653018
2.02,2.0425935,2.049065930920104
1.89,1.9415704,1.9203509315644876
1.94084810530695,1.8440187,1.8174165003851868
1.67850749183656,1.5913501,1.6603211833655094
1.48352152354506,1.5670348,1.4794266740430622
1.93,1.911767,1.9105259836287025
1.45372770078426,1.5523763,1.5180525210879783
1.27307624634528,1.417238,1.4530121965264888
1.63639525463994,1.606426,1.5251452736049136
1.84,1.938665,1.9199239566050943
1.75746566178167,1.7170321,1.7008173598737362
1.70962361905261,1.727404,1.787312726862369
1.95,1.9077678,1.8959852867704825
1.60329583739966,1.6168041,1.6006715217221825
1.74602465064342,1.7360485,1.7335364491436527
1.37704351377287,1.2954851,1.3017910359594913
1.62374615620457,1.6250108,1.579195203183672
1.58229913668081,1.5908395,1.6528706908986317
1.77195125643857,1.699453,1.6930974796702676
1.74436505372197,1.6902505,1.7038780594048988
1.76,1.900832,1.8621164698053096
1.53210534991647,1.5352485,1.5724932587023952
1.64,1.6499285,1.639237064597003
1.77991723856656,1.7414693,1.7100511029580545
1.93,1.9574434,1.9744805927101643
1.82647782913004,1.797691,1.793267532103184
1.96751187349971,1.8440187,1.8174165003851868
1.66488532606418,1.6679014,1.613527382455238
1.65331780181101,1.6679014,1.613527382455238
1.87,1.8854182,1.835644238465985
1.66076538344052,1.6558222,1.6702851370996095
1.48345585325364,1.5352473,1.5119695781041638
1.61269226948217,1.5973787,1.6426475864925116
1.69,1.6557356,1.6984818504608825
1.59431612827719,1.6198913,1.6221329399897952
1.39157758450577,1.4265101,1.4133717492213775
2.07,1.8343432,1.98397728383838
1.75426676138523,1.6871729,1.7501390544307451
1.69,1.700011,1.6962987546607944
1.60771406023113,1.6465175,1.6276097092142847
1.81,1.840712,1.8115180187497015
1.37152546760983,1.5523763,1.5180525210879783
1.7309353934262,1.61666,1.6378844286181198
1.55299345992328,1.5789622,1.5782992807638752
1.46624196857557,1.5024081,1.5307764817099425
1.59752598164923,1.629158,1.6272022431764506
1.34450053704514,1.2980592,1.4489882788188677
1.56,1.6499285,1.6332782657049054
1.64505469317945,1.6450018,1.7406317482214468
1.97463376184632,2.032988,1.9556101931207577
1.84,1.7180687,1.6973528148667565
1.87431671750271,1.7027756,1.7164084871427419
1.83,1.9536562,1.969857572286323
1.61935593320696,1.5880672,1.5833235913382382
1.9,1.8820462,1.8224729662826662
1.81615057285286,1.6309258,1.6381880427929771
1.43600727971488,1.5352473,1.5119695781041638
1.55555227898358,1.5143048,1.5370628403971978
2.14028304320562,1.9567548,1.8614210139170246
1.73335410767687,1.727404,1.787312726862369
1.86716573095411,1.5465924,1.6031404457207286
1.35844985210787,1.4893594,1.5444973174815924
1.6,1.6202694,1.6418126778172866
1.55277037321251,1.5787296,1.5630398141899555
1.45992177370627,1.5044229,1.5379987152455148
