特征,LGB重要性
M4_铝溶胶,343
M1-2_S-2土,318
M1-1_S-1土,283
M3-1_山西拟薄,235
Z2_RDSY,234
FZ4_SA-5,208
Z4_HRSY-1,123
FZ3_低硅ZSM-5,122
FZ2_高硅ZSM-5,99
L1_Na,97
FM7_基质稀土,91
oil_原料油,87
Z7_HRSY-5,58
M5_多孔,57
FZ8_氧化钇,57
M2_埃洛石,53
Z5_HRSY-3,53
Z6_HRSY-4,52
M1-3_茂名土,49
Z10_GUSY-2,48
L13_微活,47
FM8_氨水沉淀稀土,46
FM2_APM-7,31
FM4_薄水,29
L3_RE,28
L7_强度,25
Z3_MASY,24
L2_P,21
FZ6_MgO,17
T1_反应温度,12
T2_剂油比,0
