实际值,XGB预测值,LGB预测值
3.58,3.260289,3.322286680603649
2.26310890620187,2.1586459,2.221988815622932
2.11,1.9945148,1.861030374297798
2.69,2.8596525,2.9027874057003658
2.228982054108,1.7826223,1.7771416148201562
2.41173811126987,2.1075168,2.0542847586452555
1.7948202950682,1.8911917,1.8740336874856058
2.33126127679056,2.2871664,2.341704447166659
2.65,2.8890867,2.75983689370597
1.97,2.7267003,2.95048915506766
3.34,3.2042673,3.2297140883079596
1.95150569949933,1.9293892,1.9724936912505198
1.83424784683687,2.0166247,2.076206252731064
1.4755743541553,1.8604695,2.09732528625487
5.41,5.482868,4.798653104524272
1.95150569949933,1.9293892,1.9724936912505198
1.75184975436,1.8165492,2.064946352094212
2.42631751938859,2.2811635,2.3021688333797736
4.4,4.1298943,4.259504982941681
1.80390863015142,1.8995167,2.0144047630577533
2.23,2.4426827,2.174296339387415
2.64,2.8377512,2.685793468544688
1.86,2.437012,2.4130504380848055
1.94624777374773,1.8887564,1.8189412155497926
1.86811350436934,2.243154,2.3514786706402595
1.85967564754478,1.9554255,2.138673073436373
2.55,2.5626733,2.481882960091982
1.95,2.2838216,2.3639059679112284
2.13979636165214,1.6211687,1.9906492502017705
1.99183095089188,2.17718,2.434962368911459
2.39296840225718,2.7360857,2.714810793760972
3.01921483614305,2.876484,3.0873905052375523
2.1124612424098,1.9396498,1.7912185401091452
2.2176862429912,2.0847476,2.1440214678333076
3.21,2.674177,2.6042156788588358
1.23574117161574,0.8195146,1.6700083767356595
2.51,3.0604038,3.12453865564998
2.73,3.0449605,2.771316405388875
3.61,3.6025555,3.364992193836451
2.96,3.3043993,3.2600873981158682
3.27990565207359,2.9405303,2.895404345461645
2.45752078560831,2.2914047,2.2423293340664876
1.81631977002491,2.1773465,2.3730139422148127
3.09,3.143463,2.962867438709577
1.76300895188776,2.1190114,2.098015777075769
1.42235819821837,2.0601807,2.1937827731270407
2.4828333773934,2.5647151,2.2401384935032365
2.77,3.2530088,3.1740173446068485
2.18557457501689,2.0290685,2.1440214678333076
2.12629191197207,2.4067063,2.4674567101315197
3.45,3.2747228,3.5022647210330873
2.52904471897068,2.4291167,2.4189368787073176
2.09030919870786,2.055417,2.0911275097197612
1.89174646361717,1.7722734,1.788369225495311
2.80279375490502,2.196249,2.1669387010803822
2.53528802613513,2.6421158,2.744866875871641
3.04024385188932,2.906995,3.058450424617125
2.00496876892927,2.0985963,2.091857868016514
2.56,3.0850189,3.0729588955256935
1.75394199936612,1.9598001,1.8428935111171687
2.61,2.789809,2.8425061566116745
2.22340903740148,2.1821556,2.3288150844211075
3.33,3.231048,3.1903454312590145
3.55896493457045,3.3415165,3.288305028594702
3.58983544984305,2.9405303,2.895404345461645
1.99054040729485,2.002643,2.075824956449806
1.91902726920974,2.002643,2.075824956449806
3.06,3.2584145,3.145439618050841
1.91130060593023,1.9884235,1.8970051941947095
1.69518805506035,1.9817773,1.633441059606063
2.71813186530493,2.904635,2.8588908886465045
2.51,2.7975512,2.837492696546575
2.56299132112732,2.347158,2.259407199846374
1.39932884380694,1.6049204,1.6482672411745891
3.95,3.4766967,3.4322957144440753
2.8615216232818,3.041528,3.182700465943319
1.88,2.3820527,2.2654056513274123
1.89698195424195,2.0449135,1.8314949544476358
2.37,2.4968581,2.396262458544944
2.03395598172458,2.1190114,2.098015777075769
3.36565010403608,3.005382,2.709218157719324
2.52939179603069,2.3617449,2.392950878025208
1.59007413731616,1.670375,1.7906977000469186
1.95467477654164,2.043217,1.9759313467529884
2.13979636165214,1.6211687,1.9906492502017705
2.79,2.789809,2.8425061566116745
3.03875180433899,2.9081876,2.8951775979806547
2.97377603726343,2.6920567,2.87808388930345
3.14,3.0290778,3.05432229779763
3.10502119540677,2.853363,2.8157696396633507
2.71,3.3770761,3.2377192536283608
2.32468410993637,2.1580274,2.0997816999379015
3.11,3.3058963,3.2727350413541805
3.81938929704891,2.7699945,2.725178156727273
1.64385106599455,1.9817773,1.633441059606063
1.76967375225538,1.6993299,1.883218590674311
3.74012820842008,3.3267872,3.1614894900173693
2.24001342003563,2.4067063,2.4674567101315197
3.75802432120867,2.752346,2.75715196239791
1.26422966092883,1.5375236,1.678364601463254
2.24,2.0646627,1.802219036936014
1.54740197390674,1.5521263,1.7434164614060723
1.58567921419148,1.813376,2.1153829130863113
3.05940985965746,3.281464,3.1752867293746094
4.81123267062204,4.6803255,3.4004057271097476
1.9,2.0130026,2.114976724056085
2.88,2.9775515,2.71179528813086
2.65,2.6353443,2.6673952865756454
2.97,3.0956616,3.2150193322342133
3.50301502745324,2.5816069,2.5625365157274937
2.99642475259704,2.581914,2.5396336520551044
1.57,1.6484672,1.7629741422142602
2.94544011339005,2.904635,2.8588908886465045
3.32,3.3737288,3.4450672704285754
1.55195254411125,1.5958471,1.2977424724490518
4.56,4.099987,4.249646045636049
1.48319233100318,1.6627684,1.6181797797187645
2.37399699590057,2.3608,2.2044043687364963
2.47258349849785,2.347158,2.259407199846374
1.86594245440694,2.1240666,2.461792745758672
2.32468410993637,2.2186754,2.1409091587407447
3.10329272855061,2.6578755,2.372321110402784
3.42794542705666,2.5216324,2.803819523391312
1.34407627520508,1.5425783,1.5589319795285352
1.75410107050683,2.3338552,2.4190875100199145
1.82,3.6163301,3.410809364118546
2.33,2.9097033,2.7878910604648905
2.94912632687144,3.358448,3.200906465745522
2.16017962060849,2.2721844,2.2372190292825063
2.17,2.0640557,1.9089432619242415
3.34095296357301,3.1256247,3.122458509196191
3.92302276762582,3.9374309,3.862018525804207
1.5473746815125,1.7658839,1.673123114177194
2.74,2.8742669,2.921207698082102
3.27,3.3214943,3.2854591075952406
3.32,2.5375152,2.6841771664847527
1.94,2.0541139,2.1676290866290966
2.28,2.8206098,2.840630756327186
3.8,3.8130672,3.821542913153012
1.88,2.0284123,2.0473925651314677
3.27,3.2360885,3.0773415143059246
2.48,2.8508492,2.8370916127277446
1.46333353404001,1.7350512,1.8490382421343174
2.01376849507582,2.1034126,2.338910943386134
2.14,2.0201256,2.247665637026623
2.87,2.7695084,2.677237642265603
2.88286011735619,2.8708158,2.8363139784140134
1.98635340519111,1.7810776,1.9039906777169755
1.48,1.6484672,1.7629741422142602
1.99054040729485,2.002643,2.075824956449806
2.36,2.4833825,2.6580756182678806
1.86987829754413,2.016899,2.0159375705610256
2.00925931418502,2.2311547,2.239371292433304
1.82773525518577,1.7293079,1.7240626696236907
