特征,LGB重要性
M1-2_S-2土,318
M4_铝溶胶,313
M1-1_S-1土,269
M3-1_山西拟薄,216
Z2_RDSY,202
FZ4_SA-5,172
Z4_HRSY-1,159
FZ3_低硅ZSM-5,95
M1-3_茂名土,91
FM7_基质稀土,89
Z5_HRSY-3,87
L3_RE,80
oil_原料油,72
L1_Na,65
FM8_氨水沉淀稀土,64
L13_微活,63
M2_埃洛石,54
FM2_APM-7,54
FZ8_氧化钇,53
M5_多孔,51
Z10_GUSY-2,48
Z6_HRSY-4,43
FZ6_MgO,42
FZ2_高硅ZSM-5,35
L2_P,29
FM4_薄水,28
T1_反应温度,26
Z3_MASY,21
L7_强度,15
Z7_HRSY-5,13
T2_剂油比,0
