特征,LGB重要性
FZ4_SA-5,287
M4_铝溶胶,275
M1-1_S-1土,271
FZ2_高硅ZSM-5,220
M3-1_山西拟薄,204
FZ6_MgO,191
M1-2_S-2土,189
Z2_RDSY,153
FM7_基质稀土,129
Z10_GUSY-2,116
Z4_HRSY-1,84
L3_RE,58
oil_原料油,55
FZ8_氧化钇,54
FM8_氨水沉淀稀土,45
L1_Na,43
M1-3_茂名土,42
T1_反应温度,37
M2_埃洛石,37
M5_多孔,35
FM2_APM-7,34
Z6_HRSY-4,33
L13_微活,28
FZ3_低硅ZSM-5,16
Z5_HRSY-3,13
Z3_MASY,10
FM4_薄水,6
Z7_HRSY-5,6
L2_P,5
L7_强度,4
T2_剂油比,0
